eco,white_elo,black_elo,result,elo_difference,eco_cat,white_player,black_player
 B12,2475,2475, 1-0,0,B10 - B19,Player 3747_white,Player 3747_black
 B18,2440,2535, 1-0,-95,B10 - B19,Player 3748_white,Player 3748_black
 B12,2550,2515, 0-1,35,B10 - B19,Player 3749_white,Player 3749_black
 B12,2480,2545, 1/2-1/2,-65,B10 - B19,Player 3750_white,Player 3750_black
 B12,2385,2470, 1-0,-85,B10 - B19,Player 3751_white,Player 3751_black
 B19,2580,2515, 1/2-1/2,65,B10 - B19,Player 3752_white,Player 3752_black
 B19,2590,2605, 1/2-1/2,-15,B10 - B19,Player 3753_white,Player 3753_black
 B18,2500,2475, 1/2-1/2,25,B10 - B19,Player 3754_white,Player 3754_black
 B18,2630,2595, 1-0,35,B10 - B19,Player 3755_white,Player 3755_black
 B18,2485,2455, 0-1,30,B10 - B19,Player 3756_white,Player 3756_black
 B19,2470,2510, 1/2-1/2,-40,B10 - B19,Player 3757_white,Player 3757_black
 B12,2450,2445, 1/2-1/2,5,B10 - B19,Player 3758_white,Player 3758_black
 B12,2465,2490, 0-1,-25,B10 - B19,Player 3759_white,Player 3759_black
 B18,2535,2490, 0-1,45,B10 - B19,Player 3760_white,Player 3760_black
 B12,2325,2460, 1-0,-135,B10 - B19,Player 3761_white,Player 3761_black
 B19,2395,2380, 1/2-1/2,15,B10 - B19,Player 3762_white,Player 3762_black
 B19,2420,2430, 1/2-1/2,-10,B10 - B19,Player 3763_white,Player 3763_black
 B19,2435,2375, 1/2-1/2,60,B10 - B19,Player 3764_white,Player 3764_black
 B12,2640,2380, 1-0,260,B10 - B19,Player 3765_white,Player 3765_black
 B19,2520,2555, 1/2-1/2,-35,B10 - B19,Player 3766_white,Player 3766_black
 B18,2510,2505, 1/2-1/2,5,B10 - B19,Player 3767_white,Player 3767_black
 B18,2515,2475, 1/2-1/2,40,B10 - B19,Player 3768_white,Player 3768_black
 B12,2440,2490, 0-1,-50,B10 - B19,Player 3769_white,Player 3769_black
 B19,2450,2505, 1/2-1/2,-55,B10 - B19,Player 3770_white,Player 3770_black
 B18,2415,2525, 1/2-1/2,-110,B10 - B19,Player 3771_white,Player 3771_black
 B12,2415,2470, 0-1,-55,B10 - B19,Player 3772_white,Player 3772_black
 B18,2535,2530, 1/2-1/2,5,B10 - B19,Player 3773_white,Player 3773_black
 B19,2605,2530, 1-0,75,B10 - B19,Player 3774_white,Player 3774_black
 B18,2420,2505, 1/2-1/2,-85,B10 - B19,Player 3775_white,Player 3775_black
 B19,2540,2500, 1/2-1/2,40,B10 - B19,Player 3776_white,Player 3776_black
 B19,2310,2520, 1/2-1/2,-210,B10 - B19,Player 3777_white,Player 3777_black
 B19,2495,2585, 1/2-1/2,-90,B10 - B19,Player 3778_white,Player 3778_black
 B18,2435,2510, 1/2-1/2,-75,B10 - B19,Player 3779_white,Player 3779_black
 B19,2570,2505, 1-0,65,B10 - B19,Player 3780_white,Player 3780_black
 B19,2535,2600, 0-1,-65,B10 - B19,Player 3781_white,Player 3781_black
 B12,2510,2545, 0-1,-35,B10 - B19,Player 3782_white,Player 3782_black
 B12,2505,2540, 1/2-1/2,-35,B10 - B19,Player 3783_white,Player 3783_black
 B18,2505,2545, 1/2-1/2,-40,B10 - B19,Player 3784_white,Player 3784_black
 B12,2400,2495, 1/2-1/2,-95,B10 - B19,Player 3785_white,Player 3785_black
 B18,2500,2405, 1/2-1/2,95,B10 - B19,Player 3786_white,Player 3786_black
 B12,2545,2615, 1/2-1/2,-70,B10 - B19,Player 3787_white,Player 3787_black
 B19,2440,2500, 0-1,-60,B10 - B19,Player 3788_white,Player 3788_black
 B18,2435,2505, 1/2-1/2,-70,B10 - B19,Player 3789_white,Player 3789_black
 B12,2495,2570, 1/2-1/2,-75,B10 - B19,Player 3790_white,Player 3790_black
 B12,2495,2505, 1/2-1/2,-10,B10 - B19,Player 3791_white,Player 3791_black
 B12,2530,2505, 1/2-1/2,25,B10 - B19,Player 3792_white,Player 3792_black
 B18,2495,2470, 1/2-1/2,25,B10 - B19,Player 3793_white,Player 3793_black
 B12,2455,2575, 1/2-1/2,-120,B10 - B19,Player 3794_white,Player 3794_black
 B12,2550,2585, 1/2-1/2,-35,B10 - B19,Player 3795_white,Player 3795_black
 B12,2510,2570, 1/2-1/2,-60,B10 - B19,Player 3796_white,Player 3796_black
 B11,2470,2395, 1-0,75,B10 - B19,Player 3797_white,Player 3797_black
 B18,2470,2485, 1/2-1/2,-15,B10 - B19,Player 3798_white,Player 3798_black
 B19,2535,2575, 1/2-1/2,-40,B10 - B19,Player 3799_white,Player 3799_black
 B12,2430,2525, 1-0,-95,B10 - B19,Player 3800_white,Player 3800_black
 B19,2575,2500, 1/2-1/2,75,B10 - B19,Player 3801_white,Player 3801_black
 B18,2545,2535, 1/2-1/2,10,B10 - B19,Player 3802_white,Player 3802_black
 B19,2515,2465, 1/2-1/2,50,B10 - B19,Player 3803_white,Player 3803_black
 B19,2455,2585, 0-1,-130,B10 - B19,Player 3804_white,Player 3804_black
 B12,2455,2530, 1-0,-75,B10 - B19,Player 3805_white,Player 3805_black
 B12,2455,2490, 1/2-1/2,-35,B10 - B19,Player 3806_white,Player 3806_black
 B19,2615,2540, 1/2-1/2,75,B10 - B19,Player 3807_white,Player 3807_black
 B18,2510,2650, 1/2-1/2,-140,B10 - B19,Player 3808_white,Player 3808_black
 B12,2640,2475, 1-0,165,B10 - B19,Player 3809_white,Player 3809_black
 B12,2390,2510, 1/2-1/2,-120,B10 - B19,Player 3810_white,Player 3810_black
 B18,2515,2510, 1/2-1/2,5,B10 - B19,Player 3811_white,Player 3811_black
 B19,2662,2614, 1/2-1/2,48,B10 - B19,Player 3812_white,Player 3812_black
 B19,2585,2497, 0-1,88,B10 - B19,Player 3813_white,Player 3813_black
 B19,2472,2602, 1/2-1/2,-130,B10 - B19,Player 3814_white,Player 3814_black
 B12,2505,2491, 1-0,14,B10 - B19,Player 3815_white,Player 3815_black
 B12,2650,2740, 1/2-1/2,-90,B10 - B19,Player 3816_white,Player 3816_black
 B12,2569,2497, 1/2-1/2,72,B10 - B19,Player 3817_white,Player 3817_black
 B19,2535,2574, 0-1,-39,B10 - B19,Player 3818_white,Player 3818_black
 B19,2319,2568, 1/2-1/2,-249,B10 - B19,Player 3819_white,Player 3819_black
 B19,2442,2550, 1/2-1/2,-108,B10 - B19,Player 3820_white,Player 3820_black
 B19,2414,2461, 1/2-1/2,-47,B10 - B19,Player 3821_white,Player 3821_black
 B12,2531,2601, 1/2-1/2,-70,B10 - B19,Player 3822_white,Player 3822_black
 B12,2804,2666, 1-0,138,B10 - B19,Player 3823_white,Player 3823_black
 B12,2576,2502, 1/2-1/2,74,B10 - B19,Player 3824_white,Player 3824_black
 B12,2610,2651, 1/2-1/2,-41,B10 - B19,Player 3825_white,Player 3825_black
 B12,2591,2504, 0-1,87,B10 - B19,Player 3826_white,Player 3826_black
 B12,2569,2575, 1-0,-6,B10 - B19,Player 3827_white,Player 3827_black
 B19,2738,2668, 1/2-1/2,70,B10 - B19,Player 3828_white,Player 3828_black
 B18,2463,2596, 1/2-1/2,-133,B10 - B19,Player 3829_white,Player 3829_black
 B19,2592,2668, 1-0,-76,B10 - B19,Player 3830_white,Player 3830_black
 B19,2539,2492, 0-1,47,B10 - B19,Player 3831_white,Player 3831_black
 B18,2481,2514, 0-1,-33,B10 - B19,Player 3832_white,Player 3832_black
 B19,2604,2611, 1/2-1/2,-7,B10 - B19,Player 3833_white,Player 3833_black
 B18,2616,2563, 1/2-1/2,53,B10 - B19,Player 3834_white,Player 3834_black
 B12,2558,2426, 1-0,132,B10 - B19,Player 3835_white,Player 3835_black
 B12,2586,2605, 1/2-1/2,-19,B10 - B19,Player 3836_white,Player 3836_black
 B18,2550,2513, 1/2-1/2,37,B10 - B19,Player 3837_white,Player 3837_black
 B12,2553,2587, 1/2-1/2,-34,B10 - B19,Player 3838_white,Player 3838_black
 B19,2639,2678, 1/2-1/2,-39,B10 - B19,Player 3839_white,Player 3839_black
 B18,2581,2670, 1/2-1/2,-89,B10 - B19,Player 3840_white,Player 3840_black
 B19,2543,2597, 0-1,-54,B10 - B19,Player 3841_white,Player 3841_black
 B12,2534,2583, 1-0,-49,B10 - B19,Player 3842_white,Player 3842_black
 B19,2735,2751, 1/2-1/2,-16,B10 - B19,Player 3843_white,Player 3843_black
 B18,2674,2641, 1-0,33,B10 - B19,Player 3844_white,Player 3844_black
 B12,2617,2643, 1/2-1/2,-26,B10 - B19,Player 3845_white,Player 3845_black
 B19,2455,2550, 0-1,-95,B10 - B19,Player 3846_white,Player 3846_black
 B19,2235,2658, 0-1,-423,B10 - B19,Player 3847_white,Player 3847_black
 B19,2630,2617, 1-0,13,B10 - B19,Player 3848_white,Player 3848_black
 B18,2635,2649, 1/2-1/2,-14,B10 - B19,Player 3849_white,Player 3849_black
 B12,2631,2563, 1/2-1/2,68,B10 - B19,Player 3850_white,Player 3850_black
 B19,2442,2534, 1/2-1/2,-92,B10 - B19,Player 3851_white,Player 3851_black
 B18,2516,2531, 1/2-1/2,-15,B10 - B19,Player 3852_white,Player 3852_black
 B19,2717,2661, 1/2-1/2,56,B10 - B19,Player 3853_white,Player 3853_black
 B12,2604,2610, 1/2-1/2,-6,B10 - B19,Player 3854_white,Player 3854_black
 B19,2719,2674, 1/2-1/2,45,B10 - B19,Player 3855_white,Player 3855_black
 B12,2686,2574, 1-0,112,B10 - B19,Player 3856_white,Player 3856_black
 B18,2557,2536, 1-0,21,B10 - B19,Player 3857_white,Player 3857_black
 B12,2603,2545, 1/2-1/2,58,B10 - B19,Player 3858_white,Player 3858_black
 B19,2526,2622, 1/2-1/2,-96,B10 - B19,Player 3859_white,Player 3859_black
 B19,2751,2771, 1-0,-20,B10 - B19,Player 3860_white,Player 3860_black
 B18,2654,2576, 1-0,78,B10 - B19,Player 3861_white,Player 3861_black
 B19,2451,2676, 1/2-1/2,-225,B10 - B19,Player 3862_white,Player 3862_black
 B12,2457,2500, 1-0,-43,B10 - B19,Player 3863_white,Player 3863_black
 B19,2455,2493, 1/2-1/2,-38,B10 - B19,Player 3864_white,Player 3864_black
 B18,2521,2467, 1/2-1/2,54,B10 - B19,Player 3865_white,Player 3865_black
 B19,2546,2627, 1-0,-81,B10 - B19,Player 3866_white,Player 3866_black
 B19,2625,2498, 1-0,127,B10 - B19,Player 3867_white,Player 3867_black
 B18,2609,2548, 1/2-1/2,61,B10 - B19,Player 3868_white,Player 3868_black
 B12,2674,2703, 1/2-1/2,-29,B10 - B19,Player 3869_white,Player 3869_black
 B19,2590,2647, 1/2-1/2,-57,B10 - B19,Player 3870_white,Player 3870_black
 B12,2552,2592, 0-1,-40,B10 - B19,Player 3871_white,Player 3871_black
 B19,2578,2479, 1-0,99,B10 - B19,Player 3872_white,Player 3872_black
 B12,2615,2559, 1-0,56,B10 - B19,Player 3873_white,Player 3873_black
 B18,2681,2636, 1-0,45,B10 - B19,Player 3874_white,Player 3874_black
 B12,2477,2623, 0-1,-146,B10 - B19,Player 3875_white,Player 3875_black
 B19,2736,2752, 1/2-1/2,-16,B10 - B19,Player 3876_white,Player 3876_black
 B12,2664,2528, 1/2-1/2,136,B10 - B19,Player 3877_white,Player 3877_black
 B12,2458,2457, 1/2-1/2,1,B10 - B19,Player 3878_white,Player 3878_black
 B19,2660,2525, 1/2-1/2,135,B10 - B19,Player 3879_white,Player 3879_black
 B19,2660,2622, 1/2-1/2,38,B10 - B19,Player 3880_white,Player 3880_black
 B12,2556,2597, 1/2-1/2,-41,B10 - B19,Player 3881_white,Player 3881_black
 B19,2585,2485, 1-0,100,B10 - B19,Player 3882_white,Player 3882_black
 B19,2454,2642, 1-0,-188,B10 - B19,Player 3883_white,Player 3883_black
 B19,2546,2655, 1/2-1/2,-109,B10 - B19,Player 3884_white,Player 3884_black
 B19,2589,2628, 1/2-1/2,-39,B10 - B19,Player 3885_white,Player 3885_black
 B18,2590,2531, 1/2-1/2,59,B10 - B19,Player 3886_white,Player 3886_black
 B18,2588,2518, 0-1,70,B10 - B19,Player 3887_white,Player 3887_black
 B18,2562,2398, 1/2-1/2,164,B10 - B19,Player 3888_white,Player 3888_black
 B12,2632,2614, 1/2-1/2,18,B10 - B19,Player 3889_white,Player 3889_black
 B18,2744,2742, 1-0,2,B10 - B19,Player 3890_white,Player 3890_black
 B11,2686,2707, 1-0,-21,B10 - B19,Player 3891_white,Player 3891_black
 B18,2585,2637, 1-0,-52,B10 - B19,Player 3892_white,Player 3892_black
 B19,2539,2617, 1/2-1/2,-78,B10 - B19,Player 3893_white,Player 3893_black
 B12,2731,2744, 1-0,-13,B10 - B19,Player 3894_white,Player 3894_black
 B19,2453,2489, 1/2-1/2,-36,B10 - B19,Player 3895_white,Player 3895_black
 B18,2613,2694, 1/2-1/2,-81,B10 - B19,Player 3896_white,Player 3896_black
 B12,2637,2761, 1/2-1/2,-124,B10 - B19,Player 3897_white,Player 3897_black
 B12,2496,2487, 1-0,9,B10 - B19,Player 3898_white,Player 3898_black
 B19,2693,2776, 0-1,-83,B10 - B19,Player 3899_white,Player 3899_black
 B19,2497,2679, 1/2-1/2,-182,B10 - B19,Player 3900_white,Player 3900_black
 B19,2701,2558, 1/2-1/2,143,B10 - B19,Player 3901_white,Player 3901_black
 B19,2638,2424, 1-0,214,B10 - B19,Player 3902_white,Player 3902_black
 B19,2683,2505, 1-0,178,B10 - B19,Player 3903_white,Player 3903_black
 B19,2555,2536, 1/2-1/2,19,B10 - B19,Player 3904_white,Player 3904_black
 B19,2608,2616, 1/2-1/2,-8,B10 - B19,Player 3905_white,Player 3905_black
 B13,2620,2600, 1/2-1/2,20,B10 - B19,Player 3906_white,Player 3906_black
 B13,2530,2415, 1/2-1/2,115,B10 - B19,Player 3907_white,Player 3907_black
 B13,2585,2575, 1/2-1/2,10,B10 - B19,Player 3908_white,Player 3908_black
 B13,2605,2575, 0-1,30,B10 - B19,Player 3909_white,Player 3909_black
 B13,2385,2505, 1/2-1/2,-120,B10 - B19,Player 3910_white,Player 3910_black
 B13,2505,2515, 0-1,-10,B10 - B19,Player 3911_white,Player 3911_black
 B13,2530,2715, 0-1,-185,B10 - B19,Player 3912_white,Player 3912_black
 B13,2565,2425, 1-0,140,B10 - B19,Player 3913_white,Player 3913_black
 B13,2560,2555, 1/2-1/2,5,B10 - B19,Player 3914_white,Player 3914_black
 B13,2550,2725, 0-1,-175,B10 - B19,Player 3915_white,Player 3915_black
 B13,2455,2475, 1/2-1/2,-20,B10 - B19,Player 3916_white,Player 3916_black
 B13,2455,2440, 1/2-1/2,15,B10 - B19,Player 3917_white,Player 3917_black
 B13,2415,2440, 0-1,-25,B10 - B19,Player 3918_white,Player 3918_black
 B13,2505,2535, 1/2-1/2,-30,B10 - B19,Player 3919_white,Player 3919_black
 B13,2525,2445, 1/2-1/2,80,B10 - B19,Player 3920_white,Player 3920_black
 B13,2515,2495, 1/2-1/2,20,B10 - B19,Player 3921_white,Player 3921_black
 B13,2505,2505, 1/2-1/2,0,B10 - B19,Player 3922_white,Player 3922_black
 B13,2515,2490, 1/2-1/2,25,B10 - B19,Player 3923_white,Player 3923_black
 B13,2515,2450, 1-0,65,B10 - B19,Player 3924_white,Player 3924_black
 B13,2510,2535, 1/2-1/2,-25,B10 - B19,Player 3925_white,Player 3925_black
 B13,2540,2405, 1/2-1/2,135,B10 - B19,Player 3926_white,Player 3926_black
 B13,2518,2529, 1-0,-11,B10 - B19,Player 3927_white,Player 3927_black
 B13,2577,2549, 1/2-1/2,28,B10 - B19,Player 3928_white,Player 3928_black
 B13,2455,2367, 1/2-1/2,88,B10 - B19,Player 3929_white,Player 3929_black
 B13,2453,2567, 1/2-1/2,-114,B10 - B19,Player 3930_white,Player 3930_black
 B13,2596,2522, 0-1,74,B10 - B19,Player 3931_white,Player 3931_black
 B13,2177,2400, 0-1,-223,B10 - B19,Player 3932_white,Player 3932_black
 B13,2370,2243, 0-1,127,B10 - B19,Player 3933_white,Player 3933_black
 B13,2278,2456, 1/2-1/2,-178,B10 - B19,Player 3934_white,Player 3934_black
 B13,2735,2751, 1/2-1/2,-16,B10 - B19,Player 3935_white,Player 3935_black
 B13,2389,2506, 1/2-1/2,-117,B10 - B19,Player 3936_white,Player 3936_black
 B13,2597,2572, 1/2-1/2,25,B10 - B19,Player 3937_white,Player 3937_black
 B13,2680,2619, 1-0,61,B10 - B19,Player 3938_white,Player 3938_black
 B13,2540,2682, 1/2-1/2,-142,B10 - B19,Player 3939_white,Player 3939_black
 B13,2475,2590, 1/2-1/2,-115,B10 - B19,Player 3940_white,Player 3940_black
 B14,2360,2200, 0-1,160,B10 - B19,Player 3941_white,Player 3941_black
 B14,2400,2495, 1/2-1/2,-95,B10 - B19,Player 3942_white,Player 3942_black
 B13,2725,2595, 1-0,130,B10 - B19,Player 3943_white,Player 3943_black
 B14,2460,2490, 1/2-1/2,-30,B10 - B19,Player 3944_white,Player 3944_black
 B14,2595,2565, 1/2-1/2,30,B10 - B19,Player 3945_white,Player 3945_black
 B14,2480,2465, 1-0,15,B10 - B19,Player 3946_white,Player 3946_black
 B14,2260,2600, 1/2-1/2,-340,B10 - B19,Player 3947_white,Player 3947_black
 B14,2505,2460, 1/2-1/2,45,B10 - B19,Player 3948_white,Player 3948_black
 B14,2460,2460, 1/2-1/2,0,B10 - B19,Player 3949_white,Player 3949_black
 B14,2440,2515, 1/2-1/2,-75,B10 - B19,Player 3950_white,Player 3950_black
 B14,2435,2445, 1/2-1/2,-10,B10 - B19,Player 3951_white,Player 3951_black
 B14,2485,2410, 1/2-1/2,75,B10 - B19,Player 3952_white,Player 3952_black
 B14,2480,2515, 1-0,-35,B10 - B19,Player 3953_white,Player 3953_black
 B14,2530,2445, 1-0,85,B10 - B19,Player 3954_white,Player 3954_black
 B14,2515,2515, 1-0,0,B10 - B19,Player 3955_white,Player 3955_black
 B13,2535,2485, 1/2-1/2,50,B10 - B19,Player 3956_white,Player 3956_black
 B13,2410,2425, 0-1,-15,B10 - B19,Player 3957_white,Player 3957_black
 B14,2505,2440, 1/2-1/2,65,B10 - B19,Player 3958_white,Player 3958_black
 B13,2505,2660, 1-0,-155,B10 - B19,Player 3959_white,Player 3959_black
 B14,2565,2540, 1/2-1/2,25,B10 - B19,Player 3960_white,Player 3960_black
 B14,2500,2460, 1/2-1/2,40,B10 - B19,Player 3961_white,Player 3961_black
 B14,2475,2425, 1/2-1/2,50,B10 - B19,Player 3962_white,Player 3962_black
 B14,2315,2410, 1/2-1/2,-95,B10 - B19,Player 3963_white,Player 3963_black
 B14,2535,2500, 1-0,35,B10 - B19,Player 3964_white,Player 3964_black
 B14,2535,2500, 1/2-1/2,35,B10 - B19,Player 3965_white,Player 3965_black
 B14,2485,2450, 0-1,35,B10 - B19,Player 3966_white,Player 3966_black
 B14,2535,2520, 1/2-1/2,15,B10 - B19,Player 3967_white,Player 3967_black
 B14,2510,2345, 0-1,165,B10 - B19,Player 3968_white,Player 3968_black
 B14,2500,2495, 1-0,5,B10 - B19,Player 3969_white,Player 3969_black
 B14,2485,2405, 1-0,80,B10 - B19,Player 3970_white,Player 3970_black
 B14,2510,2425, 1/2-1/2,85,B10 - B19,Player 3971_white,Player 3971_black
 B14,2470,2470, 0-1,0,B10 - B19,Player 3972_white,Player 3972_black
 B14,2510,2530, 1/2-1/2,-20,B10 - B19,Player 3973_white,Player 3973_black
 B14,2425,2545, 0-1,-120,B10 - B19,Player 3974_white,Player 3974_black
 B14,2535,2460, 0-1,75,B10 - B19,Player 3975_white,Player 3975_black
 B14,2535,2400, 1-0,135,B10 - B19,Player 3976_white,Player 3976_black
 B14,2540,2715, 0-1,-175,B10 - B19,Player 3977_white,Player 3977_black
 B14,2515,2560, 1/2-1/2,-45,B10 - B19,Player 3978_white,Player 3978_black
 B14,2550,2515, 1-0,35,B10 - B19,Player 3979_white,Player 3979_black
 B14,2570,2630, 1/2-1/2,-60,B10 - B19,Player 3980_white,Player 3980_black
 B14,2420,2505, 1/2-1/2,-85,B10 - B19,Player 3981_white,Player 3981_black
 B14,2545,2605, 1-0,-60,B10 - B19,Player 3982_white,Player 3982_black
 B14,2570,2655, 1/2-1/2,-85,B10 - B19,Player 3983_white,Player 3983_black
 B13,2560,2550, 0-1,10,B10 - B19,Player 3984_white,Player 3984_black
 B14,2650,2605, 1/2-1/2,45,B10 - B19,Player 3985_white,Player 3985_black
 B14,2510,2595, 0-1,-85,B10 - B19,Player 3986_white,Player 3986_black
 B14,2485,2475, 0-1,10,B10 - B19,Player 3987_white,Player 3987_black
 B14,2485,2440, 0-1,45,B10 - B19,Player 3988_white,Player 3988_black
 B14,2575,2620, 1/2-1/2,-45,B10 - B19,Player 3989_white,Player 3989_black
 B14,2545,2380, 1-0,165,B10 - B19,Player 3990_white,Player 3990_black
 B14,2540,2525, 1/2-1/2,15,B10 - B19,Player 3991_white,Player 3991_black
 B14,2510,2380, 1/2-1/2,130,B10 - B19,Player 3992_white,Player 3992_black
 B14,2520,2485, 0-1,35,B10 - B19,Player 3993_white,Player 3993_black
 B14,2515,2525, 1-0,-10,B10 - B19,Player 3994_white,Player 3994_black
 B14,2645,2505, 1-0,140,B10 - B19,Player 3995_white,Player 3995_black
 B14,2530,2500, 1-0,30,B10 - B19,Player 3996_white,Player 3996_black
 B14,2630,2520, 1/2-1/2,110,B10 - B19,Player 3997_white,Player 3997_black
 B14,2520,2555, 0-1,-35,B10 - B19,Player 3998_white,Player 3998_black
 B14,2585,2490, 0-1,95,B10 - B19,Player 3999_white,Player 3999_black
 B14,2525,2590, 1/2-1/2,-65,B10 - B19,Player 4000_white,Player 4000_black
 B14,2615,2500, 1/2-1/2,115,B10 - B19,Player 4001_white,Player 4001_black
 B14,2265,2335, 1-0,-70,B10 - B19,Player 4002_white,Player 4002_black
 B14,2585,2560, 1/2-1/2,25,B10 - B19,Player 4003_white,Player 4003_black
 B14,2415,2470, 1/2-1/2,-55,B10 - B19,Player 4004_white,Player 4004_black
 B14,2520,2445, 1-0,75,B10 - B19,Player 4005_white,Player 4005_black
 B14,2515,2500, 1/2-1/2,15,B10 - B19,Player 4006_white,Player 4006_black
 B14,2585,2425, 0-1,160,B10 - B19,Player 4007_white,Player 4007_black
 B14,2490,2510, 1/2-1/2,-20,B10 - B19,Player 4008_white,Player 4008_black
 B14,2535,2580, 1/2-1/2,-45,B10 - B19,Player 4009_white,Player 4009_black
 B14,2490,2530, 1/2-1/2,-40,B10 - B19,Player 4010_white,Player 4010_black
 B14,2495,2270, 1-0,225,B10 - B19,Player 4011_white,Player 4011_black
 B14,2735,2770, 0-1,-35,B10 - B19,Player 4012_white,Player 4012_black
 B14,2370,2480, 1-0,-110,B10 - B19,Player 4013_white,Player 4013_black
 B14,2110,2195, 0-1,-85,B10 - B19,Player 4014_white,Player 4014_black
 B14,2410,2335, 1/2-1/2,75,B10 - B19,Player 4015_white,Player 4015_black
 B14,2425,2505, 1-0,-80,B10 - B19,Player 4016_white,Player 4016_black
 B14,2535,2495, 1/2-1/2,40,B10 - B19,Player 4017_white,Player 4017_black
 B14,2495,2410, 1-0,85,B10 - B19,Player 4018_white,Player 4018_black
 B14,2665,2775, 1/2-1/2,-110,B10 - B19,Player 4019_white,Player 4019_black
 B14,2535,2620, 1/2-1/2,-85,B10 - B19,Player 4020_white,Player 4020_black
 B14,2560,2525, 1-0,35,B10 - B19,Player 4021_white,Player 4021_black
 E00,2700,2632, 1/2-1/2,68,E00 - E59,Player 4022_white,Player 4022_black
 E00,2558,2487, 1/2-1/2,71,E00 - E59,Player 4023_white,Player 4023_black
 E00,2545,2579, 1-0,-34,E00 - E59,Player 4024_white,Player 4024_black
 E00,2670,2550, 1-0,120,E00 - E59,Player 4025_white,Player 4025_black
 E00,2551,2568, 1-0,-17,E00 - E59,Player 4026_white,Player 4026_black
 E00,2539,2607, 1/2-1/2,-68,E00 - E59,Player 4027_white,Player 4027_black
 E00,2520,2595, 1/2-1/2,-75,E00 - E59,Player 4028_white,Player 4028_black
 E00,2711,2757, 1-0,-46,E00 - E59,Player 4029_white,Player 4029_black
 E00,2542,2519, 0-1,23,E00 - E59,Player 4030_white,Player 4030_black
 E00,2564,2527, 1/2-1/2,37,E00 - E59,Player 4031_white,Player 4031_black
 E00,2622,2521, 1-0,101,E00 - E59,Player 4032_white,Player 4032_black
 E00,2461,2658, 1/2-1/2,-197,E00 - E59,Player 4033_white,Player 4033_black
 E00,2554,2644, 1/2-1/2,-90,E00 - E59,Player 4034_white,Player 4034_black
 E00,2551,2733, 0-1,-182,E00 - E59,Player 4035_white,Player 4035_black
 E00,2610,2560, 1/2-1/2,50,E00 - E59,Player 4036_white,Player 4036_black
 E00,2641,2714, 0-1,-73,E00 - E59,Player 4037_white,Player 4037_black
 E00,2484,2501, 0-1,-17,E00 - E59,Player 4038_white,Player 4038_black
 E00,2512,2580, 1/2-1/2,-68,E00 - E59,Player 4039_white,Player 4039_black
 E00,2674,2507, 1/2-1/2,167,E00 - E59,Player 4040_white,Player 4040_black
 A15,2505,2578, 1-0,-73,A00 - A39,Player 4041_white,Player 4041_black
 E00,2551,2584, 1/2-1/2,-33,E00 - E59,Player 4042_white,Player 4042_black
 E00,2540,2607, 1-0,-67,E00 - E59,Player 4043_white,Player 4043_black
 E00,2482,2531, 1/2-1/2,-49,E00 - E59,Player 4044_white,Player 4044_black
 E00,2405,2621, 0-1,-216,E00 - E59,Player 4045_white,Player 4045_black
 E00,2543,2513, 1/2-1/2,30,E00 - E59,Player 4046_white,Player 4046_black
 E00,2629,2497, 1-0,132,E00 - E59,Player 4047_white,Player 4047_black
 E00,2478,2531, 0-1,-53,E00 - E59,Player 4048_white,Player 4048_black
 E00,2504,2681, 0-1,-177,E00 - E59,Player 4049_white,Player 4049_black
 E10,2600,2390, 1-0,210,E00 - E59,Player 4050_white,Player 4050_black
 E08,2505,2615, 1/2-1/2,-110,E00 - E59,Player 4051_white,Player 4051_black
 E06,2575,2400, 1-0,175,E00 - E59,Player 4052_white,Player 4052_black
 C78,2460,2400, 1/2-1/2,60,C20 - C99,Player 4053_white,Player 4053_black
 B63,2400,2455, 1/2-1/2,-55,B20 - B99,Player 4054_white,Player 4054_black
 C50,2410,2450, 0-1,-40,C20 - C99,Player 4055_white,Player 4055_black
 A05,2535,2435, 1/2-1/2,100,A00 - A39,Player 4056_white,Player 4056_black
 B50,2435,2505, 1/2-1/2,-70,B20 - B99,Player 4057_white,Player 4057_black
 B52,2455,2545, 0-1,-90,B20 - B99,Player 4058_white,Player 4058_black
 B63,2455,2545, 1-0,-90,B20 - B99,Player 4059_white,Player 4059_black
 B52,2530,2620, 1-0,-90,B20 - B99,Player 4060_white,Player 4060_black
 A05,2495,2530, 1/2-1/2,-35,A00 - A39,Player 4061_white,Player 4061_black
 D22,2550,2545, 1/2-1/2,5,D00 - D69,Player 4062_white,Player 4062_black
 C29,2435,2555, 1-0,-120,C20 - C99,Player 4063_white,Player 4063_black
 C65,2555,2555, 0-1,0,C20 - C99,Player 4064_white,Player 4064_black
 C48,2540,2555, 0-1,-15,C20 - C99,Player 4065_white,Player 4065_black
 C77,2520,2560, 0-1,-40,C20 - C99,Player 4066_white,Player 4066_black
 C43,2560,2490, 1/2-1/2,70,C20 - C99,Player 4067_white,Player 4067_black
 A05,2595,2560, 1-0,35,A00 - A39,Player 4068_white,Player 4068_black
 C96,2615,2495, 1/2-1/2,120,C20 - C99,Player 4069_white,Player 4069_black
 A16,2545,2495, 0-1,50,A00 - A39,Player 4070_white,Player 4070_black
 C25,2425,2495, 1/2-1/2,-70,C20 - C99,Player 4071_white,Player 4071_black
 B47,2495,2465, 1/2-1/2,30,B20 - B99,Player 4072_white,Player 4072_black
